series_id,entity_id,observed_at,captured_at,metric,value,unit,source_id,raw_ref,parser_version
calfire.harvest.proposed,plan:ca:1-15NTMP-007-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,acres,582.32,acres,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-15NTMP-007-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,polygons,14,count,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-15NTMP-007-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,region,1,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-15NTMP-007-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,silviculture,Group Selection,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-15NTMP-007-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,status,Withdrawn,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-018-HUM,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,acres,13.85,acres,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-018-HUM,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,polygons,1,count,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-018-HUM,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,region,1,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-018-HUM,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,status,Withdrawn,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-049-MEN,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,acres,674.82,acres,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-049-MEN,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,polygons,19,count,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-049-MEN,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,region,1,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-049-MEN,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,silviculture,Transition,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-049-MEN,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,status,Withdrawn,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-079-NAP,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,acres,36.88,acres,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-079-NAP,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,polygons,11,count,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-079-NAP,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,region,1,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-079-NAP,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,silviculture,Conversion,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16-079-NAP,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,status,Withdrawn,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16NTMP-001-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,acres,290.85,acres,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16NTMP-001-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,polygons,1,count,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16NTMP-001-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,region,1,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16NTMP-001-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,silviculture,Selection,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-16NTMP-001-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,status,Withdrawn,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-17-017-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,acres,152.66,acres,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-17-017-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,polygons,8,count,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-17-017-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,region,1,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-17-017-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,silviculture,Group Selection,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-17-017-SON,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,status,Denied,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-17-029-MEN,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,acres,1441.19,acres,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-17-029-MEN,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,polygons,8,count,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-17-029-MEN,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,region,1,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-17-029-MEN,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,silviculture,Alternative Prescription,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-17-029-MEN,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,status,Withdrawn,,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
calfire.harvest.proposed,plan:ca:1-17-030-HUM,2026-09-04T00:00:00Z,2026-09-04T09:57:17Z,acres,30.94,acres,calfire.harvest.proposed,raw/calfire.harvest.proposed/2026/09/20260904T095717Z-dacfc1272d42.json,2
