code,name,land_sqmi,centroid_lat,centroid_lon
ALA,Alameda,737.459,37.647139,-121.912488
ALP,Alpine,738.34,38.621783,-119.798352
AMA,Amador,594.585,38.443549,-120.653858
BUT,Butte,1636.49,39.665336,-121.603209
CAL,Calaveras,1020.016,38.191068,-120.554107
COL,Colusa,1150.679,39.177739,-122.237563
CCA,Contra Costa,716.896,37.919479,-121.951543
DEL,Del Norte,1006.202,41.749903,-123.980998
ELD,El Dorado,1707.841,38.785612,-120.534225
FRE,Fresno,5958.383,36.761006,-119.655019
GLE,Glenn,1313.968,39.602546,-122.4017
HUM,Humboldt,3568.025,40.706655,-123.926176
IMP,Imperial,4175.528,33.040814,-115.3554
INY,Inyo,10197.261,36.56216,-117.404209
KER,Kern,8134.673,35.346629,-118.729506
KIN,Kings,1390.972,36.072478,-119.81553
LAK,Lake,1255.082,39.108009,-122.745217
LAS,Lassen,4541.369,40.715287,-120.621223
LOS,Los Angeles,4060.246,34.196398,-118.261862
MAD,Madera,2136.918,37.209821,-119.749802
MAR,Marin,520.141,38.051367,-122.746396
MAR,Mariposa,1448.84,37.574343,-119.911721
MEN,Mendocino,3506.807,39.432388,-123.442881
MER,Merced,1938.004,37.194806,-120.722802
MOD,Modoc,3948.233,41.592918,-120.71837
MON,Mono,3048.904,37.915836,-118.875167
MON,Monterey,3281.718,36.240104,-121.315578
NAP,Napa,751.975,38.5071,-122.325904
NEV,Nevada,957.76,39.297508,-120.771343
ORA,Orange,792.861,33.675687,-117.777207
PLA,Placer,1407.084,39.062032,-120.722718
PLU,Plumas,2553.062,39.992295,-120.824371
RIV,Riverside,7209.253,33.729828,-116.002239
SAC,Sacramento,965.28,38.450136,-121.344329
SBT,San Benito,1388.652,36.611651,-121.085811
SAN,San Bernardino,20068.167,34.856661,-116.181571
SAN,San Diego,4210.46,33.023604,-116.776117
SAN,San Francisco,46.7,37.727239,-123.032229
SJQ,San Joaquin,1392.238,37.934982,-121.272244
SLO,San Luis Obispo,3300.842,35.388189,-120.448897
SMO,San Mateo,448.606,37.414672,-122.371546
SBR,Santa Barbara,2733.941,34.536677,-120.038364
SCL,Santa Clara,1291.084,37.221614,-121.68954
SCR,Santa Cruz,445.106,37.012347,-122.007789
SHA,Shasta,3775.651,40.760514,-122.043556
SIE,Sierra,953.168,39.576925,-120.521993
SIS,Siskiyou,6278.767,41.587986,-122.533287
SOL,Solano,821.736,38.267226,-121.939594
SON,Sonoma,1575.337,38.525182,-122.92611
STA,Stanislaus,1496.15,37.562316,-121.002831
SUT,Sutter,602.696,39.03619,-121.70394
TEH,Tehama,2949.137,40.126157,-122.232274
TRI,Trinity,3179.268,40.647858,-123.114666
TUL,Tulare,4823.899,36.228834,-118.781055
TUO,Tuolumne,2220.911,38.021434,-119.964733
VEN,Ventura,1840.775,34.358748,-119.133145
YOL,Yolo,1012.988,38.679609,-121.90275
YUB,Yuba,632.006,39.27013,-121.344259
