county,filed_year,plan_status,plans
ALP,2014,Completed,1
AMA,2011,Completed,1
AMA,2012,Completed,5
AMA,2015,Completed,1
AMA,2018,Approved,1
AMA,2019,Completed,1
AMA,2021,Completed,2
AMA,2022,Approved,1
AMA,2025,Approved,2
BUT,2011,Completed,3
BUT,2011,Unlogged,1
BUT,2012,Completed,9
BUT,2012,Unlogged,2
BUT,2013,Completed,2
BUT,2014,Completed,10
BUT,2014,Withdrawn,1
BUT,2015,Completed,5
BUT,2015,Unlogged,1
BUT,2016,Completed,5
BUT,2016,Unlogged,3
BUT,2017,Completed,3
BUT,2018,Approved,4
BUT,2018,Completed,3
BUT,2020,Approved,1
BUT,2024,Approved,1
BUT,2025,Approved,1
BUT,2025,Completed,1
CAL,2011,Completed,1
CAL,2011,Unlogged,2
CAL,2012,Completed,6
CAL,2013,Completed,5
CAL,2014,Completed,5
CAL,2015,Completed,2
CAL,2016,Completed,1
CAL,2017,Approved,1
CAL,2017,Completed,2
CAL,2018,Approved,2
CAL,2018,Completed,1
CAL,2019,Approved,1
CAL,2019,Completed,1
CAL,2021,Approved,2
CAL,2021,Completed,1
CAL,2023,Approved,2
CAL,2023,Completed,1
CAL,2024,Approved,4
CAL,2025,Approved,2
DEL,2011,Completed,3
DEL,2011,Withdrawn,1
DEL,2012,Completed,1
DEL,2013,Completed,2
DEL,2014,Completed,12
DEL,2015,Completed,13
DEL,2016,Completed,22
DEL,2016,Unlogged,1
DEL,2017,Approved,1
DEL,2017,Completed,11
DEL,2017,Unlogged,1
DEL,2018,Approved,1
DEL,2018,Completed,15
DEL,2018,Unlogged,3
DEL,2019,Approved,2
DEL,2019,Completed,11
DEL,2019,Unlogged,2
DEL,2019,Withdrawn,1
DEL,2020,Approved,2
DEL,2020,Completed,9
DEL,2021,Approved,7
DEL,2021,Completed,8
DEL,2021,Unlogged,1
DEL,2022,Approved,2
DEL,2022,Completed,7
DEL,2022,Withdrawn,1
DEL,2023,Approved,7
DEL,2023,Completed,5
DEL,2024,Approved,14
DEL,2024,Completed,3
DEL,2025,Approved,13
DEL,2026,Approved,2
ELD,2011,Completed,9
ELD,2012,Completed,8
ELD,2012,Withdrawn,1
ELD,2013,Completed,14
ELD,2014,Completed,8
ELD,2014,Unlogged,1
ELD,2015,Completed,4
ELD,2015,Withdrawn,1
ELD,2016,Completed,5
ELD,2017,Approved,1
ELD,2017,Completed,8
ELD,2018,Approved,8
ELD,2018,Completed,6
ELD,2018,Unlogged,1
ELD,2019,Approved,8
ELD,2020,Approved,7
ELD,2020,Completed,1
ELD,2021,Approved,4
ELD,2022,Approved,1
ELD,2023,Approved,1
ELD,2023,Completed,1
ELD,2024,Approved,5
ELD,2025,Approved,5
FRE,2011,Completed,2
FRE,2012,Approved,2
FRE,2012,Completed,1
FRE,2013,Approved,1
FRE,2013,Completed,2
FRE,2014,Approved,1
HUM,2011,Completed,71
HUM,2011,Unlogged,5
HUM,2012,Approved,3
HUM,2012,Completed,53
HUM,2012,Unlogged,7
HUM,2013,Approved,3
HUM,2013,Completed,65
HUM,2013,Unlogged,2
HUM,2014,Approved,3
HUM,2014,Completed,64
HUM,2014,Unlogged,5
HUM,2014,Withdrawn,2
HUM,2015,Approved,7
HUM,2015,Completed,62
HUM,2015,Unlogged,6
HUM,2016,Approved,4
HUM,2016,Completed,58
HUM,2016,Unlogged,7
HUM,2017,Approved,6
HUM,2017,Completed,54
HUM,2017,Unlogged,4
HUM,2017,Withdrawn,1
HUM,2018,Approved,9
HUM,2018,Completed,58
HUM,2018,Unlogged,4
HUM,2018,Withdrawn,2
HUM,2019,Approved,20
HUM,2019,Completed,27
HUM,2019,Unlogged,1
HUM,2020,Approved,26
HUM,2020,Completed,35
HUM,2020,Unlogged,3
HUM,2021,Approved,33
HUM,2021,Completed,27
HUM,2021,Unlogged,1
HUM,2022,Approved,44
HUM,2022,Completed,20
HUM,2023,Approved,56
HUM,2023,Completed,14
HUM,2024,Approved,60
HUM,2024,Completed,3
HUM,2025,Approved,62
HUM,2026,Approved,8
KER,2013,Completed,1
LAK,2013,Completed,1
LAK,2015,Approved,1
LAK,2017,Completed,1
LAK,2019,Completed,1
LAK,2020,Approved,1
LAS,2011,Completed,7
LAS,2012,Approved,1
LAS,2012,Completed,7
LAS,2013,Approved,1
LAS,2013,Completed,8
LAS,2014,Completed,8
LAS,2015,Approved,3
LAS,2015,Completed,5
LAS,2016,Approved,1
LAS,2016,Completed,3
LAS,2016,Unlogged,1
LAS,2017,Approved,1
LAS,2017,Completed,7
LAS,2018,Approved,6
LAS,2018,Completed,2
LAS,2019,Approved,4
LAS,2019,Completed,2
LAS,2020,Approved,6
LAS,2021,Approved,1
LAS,2022,Approved,1
LAS,2023,Approved,1
LAS,2024,Approved,7
LAS,2024,Completed,1
LAS,2025,Approved,4
MAD,2018,Completed,1
MAR,2011,Completed,1
MAR,2013,Completed,1
MAR,2014,Approved,1
MAR,2014,Completed,1
MAR,2017,Completed,1
MAR,2019,Approved,1
MEN,2011,Completed,41
MEN,2011,Unlogged,4
MEN,2012,Completed,38
MEN,2012,Unlogged,8
MEN,2013,Completed,38
MEN,2013,Unlogged,5
MEN,2014,Completed,54
MEN,2014,Unlogged,3
MEN,2015,Completed,38
MEN,2015,Unlogged,3
MEN,2016,Approved,1
MEN,2016,Completed,27
MEN,2016,Unlogged,6
MEN,2017,Approved,2
MEN,2017,Completed,47
MEN,2017,Unlogged,3
MEN,2018,Approved,2
MEN,2018,Completed,37
MEN,2018,Unlogged,1
MEN,2019,Approved,9
MEN,2019,Completed,34
MEN,2019,Unlogged,2
MEN,2020,Approved,16
MEN,2020,Completed,27
MEN,2020,Unlogged,1
MEN,2021,Approved,10
MEN,2021,Completed,18
MEN,2022,Approved,32
MEN,2022,Completed,15
MEN,2023,Approved,28
MEN,2023,Completed,7
MEN,2024,Approved,35
MEN,2024,Completed,3
MEN,2025,Approved,35
MOD,2011,Completed,5
MOD,2012,Completed,2
MOD,2013,Completed,2
MOD,2014,Approved,1
MOD,2014,Completed,4
MOD,2015,Completed,3
MOD,2016,Approved,1
MOD,2016,Completed,1
MOD,2017,Completed,1
MOD,2018,Approved,1
MOD,2018,Completed,3
MOD,2019,Approved,1
MOD,2020,Approved,1
MOD,2021,Approved,1
MOD,2023,Approved,1
MOD,2024,Approved,3
MOD,2025,Approved,1
MON,2012,Approved,1
MOO,2021,Approved,1
MOO,2022,Approved,2
MOO,2023,Approved,1
NAP,2011,Approved,2
NAP,2011,Completed,1
NAP,2012,Completed,1
NAP,2013,Approved,1
NAP,2013,Completed,1
NAP,2015,Approved,1
NAP,2016,Approved,1
NAP,2019,Completed,1
NAP,2021,Approved,1
NAP,2023,Approved,2
NAP,2024,Approved,1
NAP,2025,Approved,1
NEV,2011,Completed,8
NEV,2011,Unlogged,1
NEV,2012,Approved,5
NEV,2012,Completed,2
NEV,2013,Approved,2
NEV,2013,Completed,5
NEV,2013,Withdrawn,1
NEV,2014,Approved,1
NEV,2014,Completed,8
NEV,2015,Approved,1
NEV,2015,Completed,4
NEV,2015,Unlogged,2
NEV,2015,Withdrawn,1
NEV,2016,Completed,2
NEV,2017,Approved,1
NEV,2017,Completed,7
NEV,2018,Approved,2
NEV,2018,Completed,3
NEV,2018,Unlogged,1
NEV,2019,Approved,5
NEV,2019,Completed,3
NEV,2020,Approved,3
NEV,2020,Completed,3
NEV,2021,Approved,3
NEV,2021,Completed,1
NEV,2022,Approved,2
NEV,2022,Completed,2
NEV,2023,Approved,2
NEV,2024,Approved,1
NEV,2024,Completed,2
NEV,2025,Approved,6
PLA,2011,Completed,2
PLA,2012,Completed,4
PLA,2013,Approved,1
PLA,2013,Completed,8
PLA,2013,Unlogged,1
PLA,2014,Completed,2
PLA,2015,Completed,5
PLA,2015,Unlogged,1
PLA,2016,Approved,1
PLA,2016,Completed,6
PLA,2017,Approved,2
PLA,2017,Completed,2
PLA,2018,Approved,2
PLA,2018,Completed,7
PLA,2019,Approved,1
PLA,2020,Approved,2
PLA,2021,Approved,4
PLA,2021,Completed,1
PLA,2022,Approved,1
PLA,2023,Approved,4
PLA,2024,Approved,4
PLA,2025,Approved,2
PLU,2011,Completed,6
PLU,2011,Unlogged,1
PLU,2012,Approved,1
PLU,2012,Completed,4
PLU,2013,Approved,2
PLU,2013,Completed,4
PLU,2014,Approved,5
PLU,2014,Completed,3
PLU,2015,Approved,2
PLU,2015,Completed,5
PLU,2016,Approved,6
PLU,2016,Completed,4
PLU,2017,Approved,6
PLU,2017,Completed,3
PLU,2017,Withdrawn,1
PLU,2018,Approved,10
PLU,2018,Completed,1
PLU,2019,Approved,8
PLU,2019,Completed,3
PLU,2019,Withdrawn,1
PLU,2020,Approved,2
PLU,2020,Completed,1
PLU,2020,Withdrawn,2
PLU,2021,Approved,1
PLU,2022,Approved,1
PLU,2023,Approved,2
PLU,2024,Approved,1
PLU,2025,Approved,1
SBR,2021,Withdrawn,1
SBR,2024,Approved,1
SCL,2011,Withdrawn,1
SCL,2019,Unlogged,1
SCL,2020,Completed,1
SCL,2023,Approved,1
SCL,2023,Completed,1
SCR,2011,Completed,4
SCR,2012,Completed,5
SCR,2012,Unlogged,1
SCR,2013,Approved,2
SCR,2013,Completed,4
SCR,2013,Unlogged,1
SCR,2014,Approved,1
SCR,2014,Completed,6
SCR,2015,Approved,1
SCR,2015,Completed,6
SCR,2016,Approved,1
SCR,2016,Completed,3
SCR,2017,Approved,1
SCR,2017,Completed,6
SCR,2018,Approved,4
SCR,2018,Completed,7
SCR,2019,Approved,3
SCR,2019,Completed,2
SCR,2020,Approved,2
SCR,2020,Completed,2
SCR,2021,Approved,1
SCR,2021,Completed,1
SCR,2022,Approved,2
SCR,2022,Completed,2
SCR,2023,Approved,2
SCR,2023,Completed,1
SCR,2024,Approved,6
SCR,2024,Completed,1
SHA,2011,Completed,20
SHA,2011,Unlogged,1
SHA,2012,Completed,21
SHA,2012,Unlogged,2
SHA,2013,Completed,24
SHA,2013,Unlogged,5
SHA,2014,Completed,17
SHA,2014,Unlogged,2
SHA,2015,Completed,22
SHA,2015,Unlogged,7
SHA,2016,Completed,15
SHA,2016,Unlogged,7
SHA,2017,Completed,14
SHA,2017,Unlogged,1
SHA,2018,Approved,5
SHA,2018,Completed,19
SHA,2019,Approved,4
SHA,2019,Completed,9
SHA,2019,Unlogged,2
SHA,2020,Approved,8
SHA,2020,Completed,5
SHA,2020,Unlogged,2
SHA,2021,Approved,16
SHA,2021,Completed,9
SHA,2022,Approved,19
SHA,2022,Completed,3
SHA,2023,Approved,12
SHA,2024,Approved,10
SHA,2025,Approved,17
SHA,2026,Approved,3
SIE,2011,Completed,2
SIE,2012,Completed,3
SIE,2013,Approved,2
SIE,2013,Completed,1
SIE,2014,Approved,1
SIE,2014,Completed,1
SIE,2014,Unlogged,1
SIE,2016,Completed,3
SIE,2017,Approved,2
SIE,2017,Completed,1
SIE,2018,Approved,1
SIE,2018,Completed,2
SIE,2019,Approved,2
SIE,2019,Completed,2
SIE,2020,Approved,5
SIE,2022,Approved,1
SIE,2024,Approved,2
SIE,2025,Approved,1
SIS,2011,Completed,14
SIS,2011,Unlogged,1
SIS,2012,Completed,17
SIS,2012,Unlogged,2
SIS,2013,Completed,21
SIS,2014,Completed,22
SIS,2014,Unlogged,1
SIS,2015,Completed,17
SIS,2015,Unlogged,1
SIS,2016,Approved,2
SIS,2016,Completed,13
SIS,2016,Unlogged,2
SIS,2017,Approved,1
SIS,2017,Completed,11
SIS,2018,Approved,5
SIS,2018,Completed,11
SIS,2018,Unlogged,1
SIS,2019,Approved,5
SIS,2019,Completed,10
SIS,2019,Unlogged,2
SIS,2020,Approved,8
SIS,2020,Completed,14
SIS,2021,Approved,13
SIS,2021,Completed,7
SIS,2022,Approved,8
SIS,2022,Completed,3
SIS,2023,Approved,9
SIS,2024,Approved,10
SIS,2024,Completed,3
SIS,2025,Approved,14
SMO,2011,Approved,1
SMO,2011,Unlogged,1
SMO,2012,Completed,1
SMO,2013,Completed,1
SMO,2014,Approved,1
SMO,2015,Approved,2
SMO,2016,Approved,3
SMO,2016,Completed,3
SMO,2017,Completed,1
SMO,2018,Approved,1
SMO,2018,Completed,1
SMO,2019,Completed,2
SMO,2020,Completed,1
SMO,2022,Approved,1
SMO,2023,Approved,1
SMO,2024,Approved,1
SON,2011,Completed,2
SON,2012,Approved,1
SON,2012,Completed,4
SON,2012,Unlogged,1
SON,2013,Completed,6
SON,2014,Approved,1
SON,2015,Approved,1
SON,2015,Completed,2
SON,2016,Approved,1
SON,2016,Completed,2
SON,2017,Completed,3
SON,2017,Withdrawn,1
SON,2018,Approved,2
SON,2018,Completed,1
SON,2019,Completed,1
SON,2020,Approved,4
SON,2020,Completed,2
SON,2020,Withdrawn,1
SON,2021,Approved,1
SON,2021,Completed,2
SON,2022,Approved,4
SON,2023,Approved,2
SON,2024,Approved,1
SON,2025,Approved,4
TEH,2011,Completed,5
TEH,2012,Completed,3
TEH,2013,Completed,4
TEH,2014,Completed,4
TEH,2014,Unlogged,2
TEH,2015,Completed,1
TEH,2016,Completed,3
TEH,2017,Completed,3
TEH,2017,Unlogged,1
TEH,2018,Approved,3
TEH,2018,Completed,2
TEH,2019,Approved,4
TEH,2019,Completed,1
TEH,2021,Approved,1
TEH,2021,Completed,1
TEH,2023,Approved,3
TEH,2024,Approved,2
TRI,2011,Completed,9
TRI,2012,Approved,1
TRI,2012,Completed,4
TRI,2013,Approved,1
TRI,2013,Completed,5
TRI,2013,Unlogged,1
TRI,2014,Completed,8
TRI,2015,Completed,5
TRI,2015,Unlogged,2
TRI,2016,Completed,7
TRI,2017,Approved,2
TRI,2017,Completed,4
TRI,2017,Unlogged,4
TRI,2018,Approved,4
TRI,2018,Completed,1
TRI,2019,Approved,5
TRI,2019,Completed,3
TRI,2020,Approved,3
TRI,2020,Completed,1
TRI,2021,Approved,6
TRI,2021,Completed,3
TRI,2022,Approved,8
TRI,2022,Completed,1
TRI,2023,Approved,7
TRI,2023,Completed,1
TRI,2024,Approved,10
TRI,2025,Approved,13
TUL,2011,Completed,1
TUL,2014,Unlogged,1
TUO,2011,Completed,3
TUO,2012,Completed,4
TUO,2015,Approved,1
TUO,2015,Completed,3
TUO,2015,Unlogged,1
TUO,2016,Approved,1
TUO,2016,Completed,1
TUO,2018,Approved,1
TUO,2018,Completed,1
TUO,2019,Approved,2
TUO,2020,Approved,3
TUO,2020,Completed,1
TUO,2021,Approved,2
TUO,2022,Approved,3
TUO,2022,Completed,1
TUO,2023,Approved,2
TUO,2024,Approved,3
TUO,2025,Approved,1
TUO,2026,Completed,1
YUB,2011,Completed,2
YUB,2012,Completed,2
YUB,2013,Completed,1
YUB,2014,Approved,1
YUB,2014,Completed,3
YUB,2016,Approved,1
YUB,2016,Completed,2
YUB,2017,Completed,1
YUB,2018,Approved,2
YUB,2018,Completed,1
YUB,2018,Unlogged,1
YUB,2019,Approved,1
YUB,2020,Withdrawn,1
YUB,2021,Approved,1
YUB,2022,Completed,1
YUB,2023,Approved,2
YUB,2023,Completed,1
YUB,2024,Approved,1
YUB,2025,Approved,2
